client_id,instrument_code,instrument_name,instrument_type,sector_tag,current_value,cost_basis,allocation_pct,purchase_date,sip_active,sip_amount
JHV-001,INF109K01BC4,ICICI Pru Technology Fund - Regular,MF,IT,1250000,1210000,14.7,2024-06-15,TRUE,25000
JHV-001,INF200K01RJ1,SBI Banking & Financial Services Fund - Regular,MF,BANKING,800000,719360,9.4,2024-01-10,TRUE,15000
JHV-001,INF109K01CM0,ICICI Pru Pharma Healthcare & Diagnostics Fund,MF,PHARMA,425000,400000,5.0,2024-03-20,TRUE,10000
JHV-001,INF846K01EW2,Axis Midcap Fund - Regular,MF,MIDCAP,650000,590000,7.6,2023-11-01,TRUE,15000
JHV-001,INF090I01JN4,HDFC Flexi Cap Fund - Regular,MF,DIVERSIFIED,1200000,1050000,14.1,2023-06-15,TRUE,20000
JHV-001,INF200K01RQ6,SBI Liquid Fund - Regular,MF,LIQUID,680000,680000,8.0,2025-01-01,FALSE,0
JHV-001,INF174K01LS2,Kotak Nifty Bank ETF,ETF,BANKING,450000,410000,5.3,2024-02-20,FALSE,0
JHV-001,INF109K01FQ9,ICICI Pru Large & Mid Cap Fund - Regular,MF,DIVERSIFIED,1100000,980000,12.9,2023-09-10,TRUE,20000
JHV-001,INF205K01MA4,Nippon India Large Cap Fund - Regular,MF,LARGECAP,945000,870000,11.1,2023-12-01,TRUE,15000
JHV-002,NSE:HDFCBANK,HDFC Bank,STOCK,BANKING,1500000,1300000,12.5,2024-01-15,FALSE,0
JHV-002,NSE:RELIANCE,Reliance Industries,STOCK,ENERGY,1800000,1600000,15.0,2023-10-20,FALSE,0
JHV-002,NSE:TCS,TCS,STOCK,IT,900000,1050000,7.5,2024-04-10,FALSE,0
JHV-002,INF109K01BC4,ICICI Pru Technology Fund - Regular,MF,IT,600000,650000,5.0,2024-08-01,TRUE,15000
JHV-002,INF200K01558,SBI Contra Fund - Regular,MF,DIVERSIFIED,1000000,850000,8.3,2023-07-15,TRUE,20000
JHV-002,INF090I01JN4,HDFC Flexi Cap Fund - Regular,MF,DIVERSIFIED,1200000,1000000,10.0,2023-05-01,TRUE,25000
JHV-002,INF174K01LS2,Kotak Nifty Bank ETF,ETF,BANKING,700000,620000,5.8,2024-03-10,FALSE,0
JHV-002,NSE:SUNPHARMA,Sun Pharmaceutical,STOCK,PHARMA,800000,650000,6.7,2024-02-01,FALSE,0
JHV-002,NSE:LT,Larsen & Toubro,STOCK,INFRA,1000000,900000,8.3,2023-11-20,FALSE,0
JHV-002,INF200K01RQ6,SBI Liquid Fund - Regular,MF,LIQUID,1500000,1500000,12.5,2025-01-15,FALSE,0
