client_id,instrument_code,instrument_name,instrument_type,sector_tag,current_value,cost_basis,allocation_pct,purchase_date,sip_active,sip_amount
JHV-001,120503,ICICI Prudential Bluechip Fund - Regular Growth,MF,LARGECAP,1298701,1399080,26.0,2023-04-05,TRUE,26000
JHV-001,112227,HDFC Flexi Cap Fund - Regular Growth,MF,DIVERSIFIED,1298701,1135912,26.0,2023-10-14,TRUE,26000
JHV-001,118837,Axis Midcap Fund - Regular Growth,MF,MIDCAP,974026,1047528,19.5,2023-09-20,TRUE,19000
JHV-001,106100,ICICI Prudential Banking & Financial Fund - Regular Growth,MF,BANKING,779221,705043,15.6,2024-04-15,TRUE,16000
JHV-001,100104,SBI Technology Opportunities Fund - Regular Growth,MF,IT,649351,547001,13.0,2023-12-14,TRUE,13000
JHV-002,118834,Axis Bluechip Fund - Regular Growth,MF,LARGECAP,1400000,1383813,40.0,2024-02-03,TRUE,28000
JHV-002,100381,SBI Flexi Cap Fund - Regular Growth,MF,DIVERSIFIED,933333,980478,26.7,2024-10-09,TRUE,19000
JHV-002,119364,SBI Liquid Fund - Regular Growth,MF,LIQUID,700000,603026,20.0,2023-07-03,TRUE,14000
JHV-002,100519,Mirae Asset Tax Saver Fund - Regular Growth,MF,ELSS,466667,390940,13.3,2024-10-07,TRUE,9000
JHV-003,100497,Kotak Emerging Equity Fund - Regular Growth,MF,MIDCAP,2842105,3014047,18.9,2023-05-03,TRUE,57000
JHV-003,120586,SBI Small Cap Fund - Regular Growth,MF,SMALLCAP,2368421,1963963,15.8,2024-08-21,TRUE,47000
JHV-003,105078,Kotak Flexicap Fund - Regular Growth,MF,DIVERSIFIED,2368421,2432453,15.8,2023-11-09,TRUE,47000
JHV-003,106100,ICICI Prudential Banking & Financial Fund - Regular Growth,MF,BANKING,1894737,1690200,12.6,2023-03-15,TRUE,38000
JHV-003,100104,SBI Technology Opportunities Fund - Regular Growth,MF,IT,1578947,1564735,10.5,2023-11-11,TRUE,32000
JHV-003,112228,HDFC Infrastructure Fund - Regular Growth,MF,INFRA,1578947,1585948,10.5,2024-07-09,TRUE,32000
JHV-003,106099,ICICI Prudential Pharma Healthcare Fund - Regular Growth,MF,PHARMA,1263158,1276402,8.4,2024-04-21,TRUE,25000
JHV-003,100520,Mirae Asset Large Cap Fund - Regular Growth,MF,LARGECAP,1105263,1052072,7.4,2024-03-09,TRUE,22000
JHV-004,100356,SBI Blue Chip Fund - Regular Growth,MF,LARGECAP,1764706,1762262,23.5,2024-12-19,TRUE,35000
JHV-004,100381,SBI Flexi Cap Fund - Regular Growth,MF,DIVERSIFIED,1764706,1450903,23.5,2024-04-05,TRUE,35000
JHV-004,100497,Kotak Emerging Equity Fund - Regular Growth,MF,MIDCAP,1323529,1222253,17.6,2023-02-05,TRUE,26000
JHV-004,106100,ICICI Prudential Banking & Financial Fund - Regular Growth,MF,BANKING,1058824,896256,14.1,2023-07-13,TRUE,21000
JHV-004,100104,SBI Technology Opportunities Fund - Regular Growth,MF,IT,882353,806091,11.8,2023-11-24,TRUE,18000
JHV-004,106099,ICICI Prudential Pharma Healthcare Fund - Regular Growth,MF,PHARMA,705882,616510,9.4,2024-11-11,TRUE,14000
JHV-005,120503,ICICI Prudential Bluechip Fund - Regular Growth,MF,LARGECAP,1153846,1134720,46.2,2024-01-24,TRUE,23000
JHV-005,105078,Kotak Flexicap Fund - Regular Growth,MF,DIVERSIFIED,769231,619986,30.8,2023-09-04,TRUE,15000
JHV-005,100524,ICICI Prudential Liquid Fund - Regular Growth,MF,LIQUID,576923,566451,23.1,2023-03-12,TRUE,12000
JHV-006,100356,SBI Blue Chip Fund - Regular Growth,MF,LARGECAP,2207792,2010749,26.0,2023-10-11,TRUE,44000
JHV-006,100381,SBI Flexi Cap Fund - Regular Growth,MF,DIVERSIFIED,2207792,2383125,26.0,2024-05-08,TRUE,44000
JHV-006,118837,Axis Midcap Fund - Regular Growth,MF,MIDCAP,1655844,1656693,19.5,2023-02-24,TRUE,33000
JHV-006,100118,SBI Banking & Financial Services Fund - Regular Growth,MF,BANKING,1324675,1113839,15.6,2023-03-22,TRUE,26000
JHV-006,100104,SBI Technology Opportunities Fund - Regular Growth,MF,IT,1103896,895685,13.0,2024-09-28,TRUE,22000
JHV-007,100497,Kotak Emerging Equity Fund - Regular Growth,MF,MIDCAP,10227273,9651689,20.5,2023-12-10,TRUE,100000
JHV-007,105085,Nippon India Small Cap Fund - Regular Growth,MF,SMALLCAP,8522727,6826924,17.0,2024-08-17,TRUE,100000
JHV-007,100381,SBI Flexi Cap Fund - Regular Growth,MF,DIVERSIFIED,8522727,8878475,17.0,2023-06-01,TRUE,100000
JHV-007,106100,ICICI Prudential Banking & Financial Fund - Regular Growth,MF,BANKING,6818182,6119433,13.6,2023-12-21,TRUE,100000
JHV-007,106098,ICICI Prudential Technology Fund - Regular Growth,MF,IT,5681818,5707211,11.4,2023-06-03,TRUE,100000
JHV-007,105042,DSP Natural Resources Fund - Regular Growth,MF,ENERGY,5681818,5690117,11.4,2024-04-18,TRUE,100000
JHV-007,106099,ICICI Prudential Pharma Healthcare Fund - Regular Growth,MF,PHARMA,4545455,3922871,9.1,2024-04-26,TRUE,91000
